"positive_count","negative_count","label"
22572,13951,"hm_cluster1"
24360,14449,"hm_cluster1"
29600,14967,"hm_cluster1"
20176,15862,"hm_cluster1"
27905,12675,"hm_cluster1"
28555,15256,"hm_cluster1"
26415,18145,"hm_cluster1"
29630,14347,"hm_cluster1"
29445,18207,"hm_cluster1"
26487,14205,"hm_cluster1"
27686,17399,"hm_cluster1"
23935,14173,"hm_cluster1"
26169,18802,"hm_cluster1"
24830,15468,"hm_cluster1"
27247,17359,"hm_cluster1"
26317,17199,"hm_cluster1"
33771,13609,"hm_cluster1"
29428,14109,"hm_cluster1"
21199,16493,"hm_cluster1"
22166,15790,"hm_cluster1"
29261,17994,"hm_cluster1"
28656,16936,"hm_cluster1"
21764,16573,"hm_cluster1"
25880,18566,"hm_cluster1"
28307,17505,"hm_cluster1"
31031,15304,"hm_cluster1"
27594,17125,"hm_cluster1"
27985,16203,"hm_cluster1"
24286,16532,"hm_cluster1"
26902,21304,"hm_cluster1"
34075,17917,"hm_cluster1"
26604,15187,"hm_cluster1"
22814,13925,"hm_cluster1"
26142,15729,"hm_cluster1"
26574,20147,"hm_cluster1"
19076,12940,"hm_cluster1"
28062,17832,"hm_cluster1"
30988,15638,"hm_cluster1"
24057,13566,"hm_cluster1"
25442,15853,"hm_cluster1"
30721,17137,"hm_cluster1"
23869,18627,"hm_cluster1"
25247,14299,"hm_cluster1"
25893,14895,"hm_cluster1"
22552,15484,"hm_cluster1"
24536,15048,"hm_cluster1"
23734,11629,"hm_cluster1"
24882,13569,"hm_cluster1"
22211,16372,"hm_cluster1"
23663,16704,"hm_cluster1"
26759,13867,"hm_cluster1"
29764,16181,"hm_cluster1"
32559,15547,"hm_cluster1"
32807,16847,"hm_cluster1"
31734,16077,"hm_cluster1"
25932,17956,"hm_cluster1"
27212,15923,"hm_cluster1"
31486,14939,"hm_cluster1"
25448,17795,"hm_cluster1"
30713,15969,"hm_cluster1"
21327,15474,"hm_cluster1"
26920,13088,"hm_cluster1"
24571,15304,"hm_cluster1"
24298,14576,"hm_cluster1"
26596,17553,"hm_cluster1"
28105,16116,"hm_cluster1"
25625,16909,"hm_cluster1"
33996,20043,"hm_cluster1"
27379,14813,"hm_cluster1"
27435,15041,"hm_cluster1"
23297,14643,"hm_cluster1"
32529,11925,"hm_cluster1"
23639,15178,"hm_cluster1"
28288,13457,"hm_cluster1"
27516,19577,"hm_cluster1"
22677,15496,"hm_cluster1"
24121,15203,"hm_cluster1"
27005,15701,"hm_cluster1"
26936,13003,"hm_cluster1"
24505,17676,"hm_cluster1"
24994,14302,"hm_cluster1"
21927,17107,"hm_cluster1"
28245,16774,"hm_cluster1"
27432,15349,"hm_cluster1"
30260,17210,"hm_cluster1"
22638,19353,"hm_cluster1"
25559,15613,"hm_cluster1"
25506,15574,"hm_cluster1"
26188,14374,"hm_cluster1"
26837,14942,"hm_cluster1"
23865,18262,"hm_cluster1"
26582,15543,"hm_cluster1"
20722,15525,"hm_cluster1"
27748,17896,"hm_cluster1"
25118,18115,"hm_cluster1"
32615,17119,"hm_cluster1"
34334,19699,"hm_cluster1"
30087,20749,"hm_cluster1"
21377,12800,"hm_cluster1"
27436,16771,"hm_cluster1"
29622,17923,"hm_cluster1"
30090,17206,"hm_cluster1"
29636,20330,"hm_cluster1"
26619,15869,"hm_cluster1"
27310,17995,"hm_cluster1"
32974,17475,"hm_cluster1"
26524,14848,"hm_cluster1"
26372,18430,"hm_cluster1"
25678,16040,"hm_cluster1"
23564,14814,"hm_cluster1"
25619,16582,"hm_cluster1"
28750,16819,"hm_cluster1"
21111,12944,"hm_cluster1"
27408,16319,"hm_cluster1"
29479,17862,"hm_cluster1"
