"geneName","teName","coef","pair","group","age"
"ZNF382","L1MCa",-0.763970781257676,"L1MCa:ZNF382","negative","old"
"ZNF382","L1MCc",-0.464738510239402,"L1MCc:ZNF382","negative","old"
"ZNF382","L1MD",-0.584666055956198,"L1MD:ZNF382","negative","old"
"ZNF382","L1MDa",-0.769971789203052,"L1MDa:ZNF382","negative","old"
"ZNF382","L1MEc",-0.752696789212415,"L1MEc:ZNF382","negative","old"
"ZNF382","L1MEf",-0.755857611465926,"L1MEf:ZNF382","negative","old"
"ZNF382","L1MEg",-0.702534592166589,"L1MEg:ZNF382","negative","old"
"ZNF382","L1P1",-0.823997549328826,"L1P1:ZNF382","negative","old"
"ZNF382","L1P2",-0.826780493068336,"L1P2:ZNF382","negative","old"
"ZNF382","L1P3",-0.751936616453937,"L1P3:ZNF382","negative","old"
"ZNF382","L1P4",-0.531858239674004,"L1P4:ZNF382","negative","old"
"ZNF382","L1PA10",-0.519515689860708,"L1PA10:ZNF382","negative","old"
"ZNF382","L1PA11",-0.504919890628527,"L1PA11:ZNF382","negative","old"
"ZNF382","L1PA13",-0.568103944818414,"L1PA13:ZNF382","negative","old"
"ZNF382","L1PA14",-0.491733712963149,"L1PA14:ZNF382","negative","old"
"ZNF382","L1PA15-16",-0.499935367052042,"L1PA15-16:ZNF382","negative","old"
"ZNF382","L1PA15",-0.564861609169599,"L1PA15:ZNF382","negative","old"
"ZNF382","L1PA16",-0.535074116065524,"L1PA16:ZNF382","negative","old"
"ZNF382","L1PA2",-0.766883834637448,"L1PA2:ZNF382","negative","old"
"ZNF382","L1PA3",-0.644919555259115,"L1PA3:ZNF382","negative","old"
"ZNF382","L1PA4",-0.669591278076433,"L1PA4:ZNF382","negative","old"
"ZNF382","L1PA6",-0.623119593656977,"L1PA6:ZNF382","negative","old"
"ZNF382","L1PA7",-0.658498979713128,"L1PA7:ZNF382","negative","old"
"ZNF382","L1PA8",-0.502534562248949,"L1PA8:ZNF382","negative","old"
"ZNF382","L1PA8A",-0.609672825533129,"L1PA8A:ZNF382","negative","old"
"ZNF382","L1PB1",-0.639642500702398,"L1PB1:ZNF382","negative","old"
"ZNF382","L1PB2",-0.543436438099215,"L1PB2:ZNF382","negative","old"
"ZNF382","L1PB",-0.608995577686536,"L1PB:ZNF382","negative","old"
"ZNF382","L1PBa",-0.698685188589179,"L1PBa:ZNF382","negative","old"
"ZNF382","L1PREC2",-0.479617424787374,"L1PREC2:ZNF382","negative","old"
"ZNF382","MamGypLTR3",0.817320186031633,"MamGypLTR3:ZNF382","positive","old"
"PRDM9","L1PBa1",0.525776614927705,"L1PBa1:PRDM9","positive","old"
"PRDM9","MSTA",-0.526131949011812,"MSTA:PRDM9","negative","young"
"PRDM9","SVA_D",-0.534548853795024,"SVA_D:PRDM9","negative","young"
"PRDM9","SVA_E",-0.570350614589792,"SVA_E:PRDM9","negative","young"
"PRDM9","THE1A",-0.56724555271174,"THE1A:PRDM9","negative","young"
"PRDM9","THE1B",-0.538842785598295,"THE1B:PRDM9","negative","young"
"PRDM9","THE1D",-0.497699165470657,"THE1D:PRDM9","negative","young"
"ZNF12","MLT1A0",0.785659595162886,"MLT1A0:ZNF12","positive","old"
"ZNF12","MLT1A",0.767976917137957,"MLT1A:ZNF12","positive","old"
"ZNF12","MLT1B",0.771110899257819,"MLT1B:ZNF12","positive","old"
"ZNF12","MLT1D",0.771477762470013,"MLT1D:ZNF12","positive","old"
"ZNF12","MLT1H",0.773168280674625,"MLT1H:ZNF12","positive","old"
"ZNF12","MLT1I",0.788761962304378,"MLT1I:ZNF12","positive","old"
"ZNF12","MLT1J1",0.805068036332949,"MLT1J1:ZNF12","positive","old"
"ZNF12","MLT1J2",0.787879217054176,"MLT1J2:ZNF12","positive","old"
"ZNF12","MLT1J",0.811831418293315,"MLT1J:ZNF12","positive","old"
"ZNF202","LTR12E",0.535617423643359,"LTR12E:ZNF202","positive","young"
"ZNF202","SVA_D",0.614161875221642,"SVA_D:ZNF202","positive","young"
"ZNF202","SVA_E",0.598846086607243,"SVA_E:ZNF202","positive","young"
"ZNF202","SVA_F",0.568080057626277,"SVA_F:ZNF202","positive","young"
"ZNF180","Charlie8",0.784830667028785,"Charlie8:ZNF180","positive","old"
"ZNF180","MER102c",0.696730887165963,"MER102c:ZNF180","positive","old"
"ZNF641","LTR12C",0.82704519416192,"LTR12C:ZNF641","positive","young"
"ZNF641","LTR12D",0.527660167536634,"LTR12D:ZNF641","positive","young"
"ZNF641","LTR12E",0.83671112214724,"LTR12E:ZNF641","positive","young"
"ZNF641","SVA_A",0.472480130410644,"SVA_A:ZNF641","positive","young"
"ZNF641","SVA_B",0.624286420924486,"SVA_B:ZNF641","positive","young"
"ZNF641","SVA_C",0.789892299618388,"SVA_C:ZNF641","positive","young"
"ZNF641","SVA_D",0.829004788376882,"SVA_D:ZNF641","positive","young"
"ZNF641","SVA_E",0.830740950037569,"SVA_E:ZNF641","positive","young"
"ZNF641","SVA_F",0.653973244875662,"SVA_F:ZNF641","positive","young"
"ZNF528","L1PB1",-0.589885018215044,"L1PB1:ZNF528","negative","young"
"ZNF528","L1PB2",-0.485134405901449,"L1PB2:ZNF528","negative","young"
