"label","group","count"
"cbe_control","all",9832
"cbe_control","positive",5801
"cbe_control","negative",3785
"cbe_control","all",9586
"cbe_control","positive",3964
"cbe_control","negative",2562
"cbe_control","all",6526
"cbe_control","positive",7607
"cbe_control","negative",5027
"cbe_control","all",12634
"cbe_control","positive",5746
"cbe_control","negative",3421
"cbe_control","all",9167
"cbe_control","positive",7399
"cbe_control","negative",4891
"cbe_control","all",12290
"cbe_control","positive",7235
"cbe_control","negative",4614
"cbe_control","all",11849
"cbe_control","positive",5587
"cbe_control","negative",3355
"cbe_control","all",8942
"cbe_control","positive",5246
"cbe_control","negative",3048
"cbe_control","all",8294
"cbe_control","positive",6593
"cbe_control","negative",4619
"cbe_control","all",11212
"cbe_control","positive",7966
"cbe_control","negative",4994
"cbe_control","all",12960
"cbe_control","positive",6079
"cbe_control","negative",3861
"cbe_control","all",9940
"cbe_control","positive",6444
"cbe_control","negative",4440
"cbe_control","all",10884
"cbe_control","positive",6084
"cbe_control","negative",3874
"cbe_control","all",9958
"cbe_control","positive",6522
"cbe_control","negative",4330
"cbe_control","all",10852
"cbe_control","positive",3745
"cbe_control","negative",2001
"cbe_control","all",5746
"cbe_control","positive",6219
"cbe_control","negative",4161
"cbe_control","all",10380
"cbe_control","positive",5057
"cbe_control","negative",3293
"cbe_control","all",8350
"cbe_control","positive",5016
"cbe_control","negative",3086
"cbe_control","all",8102
"cbe_control","positive",6989
"cbe_control","negative",4778
"cbe_control","all",11767
"cbe_control","positive",6134
"cbe_control","negative",4243
"cbe_control","all",10377
"cbe_control","positive",6588
"cbe_control","negative",3894
"cbe_control","all",10482
"cbe_control","positive",7239
"cbe_control","negative",5257
"cbe_control","all",12496
"cbe_control","positive",5439
"cbe_control","negative",3267
"cbe_control","all",8706
"cbe_control","positive",5291
"cbe_control","negative",3339
"cbe_control","all",8630
"cbe_control","positive",3917
"cbe_control","negative",2129
"cbe_control","all",6046
"cbe_control","positive",5108
"cbe_control","negative",3249
"cbe_control","all",8357
"cbe_control","positive",6644
"cbe_control","negative",4431
"cbe_control","all",11075
"cbe_control","positive",5586
"cbe_control","negative",3460
"cbe_control","all",9046
"cbe_control","positive",5336
"cbe_control","negative",3104
"cbe_control","all",8440
"cbe_control","positive",5704
"cbe_control","negative",3671
"cbe_control","all",9375
"cbe_control","positive",5271
"cbe_control","negative",3304
"cbe_control","all",8575
"cbe_control","positive",5797
"cbe_control","negative",3675
"cbe_control","all",9472
"cbe_control","positive",5386
"cbe_control","negative",3504
"cbe_control","all",8890
"cbe_control","positive",4888
"cbe_control","negative",2969
"cbe_control","all",7857
"cbe_control","positive",4010
"cbe_control","negative",2046
"cbe_control","all",6056
"cbe_control","positive",5732
"cbe_control","negative",3758
"cbe_control","all",9490
"cbe_control","positive",4573
"cbe_control","negative",2873
"cbe_control","all",7446
"cbe_control","positive",6207
"cbe_control","negative",3922
"cbe_control","all",10129
"cbe_control","positive",5578
"cbe_control","negative",3290
"cbe_control","all",8868
"cbe_control","positive",4241
"cbe_control","negative",2600
"cbe_control","all",6841
"cbe_control","positive",5872
"cbe_control","negative",3808
"cbe_control","all",9680
"cbe_control","positive",4331
"cbe_control","negative",2530
"cbe_control","all",6861
"cbe_control","positive",6303
"cbe_control","negative",4163
"cbe_control","all",10466
"cbe_control","positive",5427
"cbe_control","negative",3173
"cbe_control","all",8600
"cbe_control","positive",4072
"cbe_control","negative",2516
"cbe_control","all",6588
"cbe_control","positive",4522
"cbe_control","negative",2721
"cbe_control","all",7243
"cbe_control","positive",5914
"cbe_control","negative",3727
"cbe_control","all",9641
"cbe_control","positive",6026
"cbe_control","negative",3740
"cbe_control","all",9766
"cbe_control","positive",4969
"cbe_control","negative",3064
"cbe_control","all",8033
"cbe_control","positive",5909
"cbe_control","negative",3824
"cbe_control","all",9733
"cbe_control","positive",4220
"cbe_control","negative",2547
"cbe_control","all",6767
"cbe_control","positive",6152
"cbe_control","negative",4120
"cbe_control","all",10272
"cbe_control","positive",5127
"cbe_control","negative",3204
"cbe_control","all",8331
"cbe_control","positive",6052
"cbe_control","negative",4021
"cbe_control","all",10073
"cbe_control","positive",4949
"cbe_control","negative",2977
"cbe_control","all",7926
"cbe_control","positive",5199
"cbe_control","negative",2890
"cbe_control","all",8089
"cbe_control","positive",5173
"cbe_control","negative",3144
"cbe_control","all",8317
"cbe_control","positive",5942
"cbe_control","negative",3638
"cbe_control","all",9580
"cbe_control","positive",5585
"cbe_control","negative",3849
"cbe_control","all",9434
"cbe_control","positive",6110
"cbe_control","negative",3838
"cbe_control","all",9948
"cbe_control","positive",5700
"cbe_control","negative",3535
"cbe_control","all",9235
"cbe_control","positive",7426
"cbe_control","negative",4875
"cbe_control","all",12301
"cbe_control","positive",5742
"cbe_control","negative",3478
"cbe_control","all",9220
"cbe_control","positive",5189
"cbe_control","negative",3522
"cbe_control","all",8711
"cbe_control","positive",5901
"cbe_control","negative",3877
"cbe_control","all",9778
"cbe_control","positive",5407
"cbe_control","negative",3334
"cbe_control","all",8741
"cbe_control","positive",5364
"cbe_control","negative",3239
"cbe_control","all",8603
"cbe_control","positive",5655
"cbe_control","negative",3704
"cbe_control","all",9359
"cbe_control","positive",5800
"cbe_control","negative",4037
"cbe_control","all",9837
"cbe_control","positive",5353
"cbe_control","negative",3482
"cbe_control","all",8835
"cbe_control","positive",5762
"cbe_control","negative",3410
"cbe_control","all",9172
"cbe_control","positive",5613
"cbe_control","negative",3282
"cbe_control","all",8895
"cbe_control","positive",5624
"cbe_control","negative",3481
"cbe_control","all",9105
"cbe_control","positive",6310
"cbe_control","negative",3836
"cbe_control","all",10146
"cbe_control","positive",3508
"cbe_control","negative",2243
"cbe_control","all",5751
"cbe_control","positive",5683
"cbe_control","negative",3434
"cbe_control","all",9117
"cbe_control","positive",6235
"cbe_control","negative",3721
"cbe_control","all",9956
"cbe_control","positive",4222
"cbe_control","negative",2572
"cbe_control","all",6794
"cbe_control","positive",8981
"cbe_control","negative",6302
"cbe_control","all",15283
"cbe_control","positive",7185
"cbe_control","negative",4798
"cbe_control","all",11983
"cbe_control","positive",6180
"cbe_control","negative",3888
"cbe_control","all",10068
"cbe_control","positive",5087
"cbe_control","negative",2955
"cbe_control","all",8042
"cbe_control","positive",5444
"cbe_control","negative",3962
"cbe_control","all",9406
"cbe_control","positive",5425
"cbe_control","negative",3573
"cbe_control","all",8998
"cbe_control","positive",5859
"cbe_control","negative",3293
"cbe_control","all",9152
"cbe_control","positive",5366
"cbe_control","negative",3334
"cbe_control","all",8700
"cbe_control","positive",5621
"cbe_control","negative",3588
"cbe_control","all",9209
"cbe_control","positive",7835
"cbe_control","negative",5339
"cbe_control","all",13174
"cbe_control","positive",6751
"cbe_control","negative",4384
"cbe_control","all",11135
"cbe_control","positive",4394
"cbe_control","negative",2702
"cbe_control","all",7096
"cbe_control","positive",4300
"cbe_control","negative",2607
"cbe_control","all",6907
"cbe_control","positive",6391
"cbe_control","negative",3999
"cbe_control","all",10390
"cbe_control","positive",6979
"cbe_control","negative",4735
"cbe_control","all",11714
"cbe_control","positive",4861
"cbe_control","negative",2795
"cbe_control","all",7656
"cbe_control","positive",5433
"cbe_control","negative",3538
"cbe_control","all",8971
"cbe_control","positive",5480
