"repName","repClass","repFamily","species","clade","age"
"EUTREP7","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"MER99","DNA","hAT","Eutheria","Theria <mammals>.","old"
"hAT-5_Mam","DNA","hAT-Tag1","Mammalia","Amniota.","old"
"Zaphod4a","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"LTR88b","LTR","Gypsy","Eutheria","Theria <mammals>.","old"
"UCON40","DNA","TcMar-Mariner","Theria <mammals>","Mammalia.","old"
"MER34C_v","LTR","ERV1","Euarchontoglires","Boreoeutheria.","old"
"MamTip3B","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"MER133A","DNA","PIF-Harbinger","Amniota","Tetrapoda.","old"
"HERV4_I","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"UCON38","DNA","hAT-Charlie","Mammalia","Amniota.","old"
"Tigger22N1","DNA","TcMar-Tigger","Eutheria","Theria <mammals>.","old"
"EUTREP8","LTR","LTR","Eutheria","Theria <mammals>.","old"
"Eutr18","LTR","LTR","Eutheria","Theria <mammals>.","old"
"Eutr5","LTR","LTR","Eutheria","Theria <mammals>.","old"
"X2a_DNA","DNA","DNA","Mammalia","Amniota.","old"
"L2-2_Mam","LINE","L2","Mammalia","Amniota.","old"
"MER121","DNA","hAT","Mammalia","Amniota.","old"
"MamTip1b","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"X5a_DNA","DNA","TcMar-Tigger","Theria <mammals>","Mammalia.","old"
"LTR91A","LTR","LTR","Eutheria","Theria <mammals>.","old"
"hAT-N1_Mam","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"Zaphod5a","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"MLT1C2-int","LTR","ERVL-MaLR",NA,NA,"old"
"X10b_DNA","DNA","TcMar-Tigger","Theria <mammals>","Mammalia.","old"
"LTR88c","LTR","Gypsy","Eutheria","Theria <mammals>.","old"
"EUTREP2","DNA","hAT","Eutheria","Theria <mammals>.","old"
"X12_LINE","LINE","I-Jockey","Mammalia","Amniota.","old"
"MER4A1_v","LTR","ERV1","Primates","Euarchontoglires.","old"
"MER129","LTR","LTR","Amniota","Tetrapoda.","old"
"EutTc1-N2","DNA","TcMar-Tc1","Eutheria","Theria <mammals>.","old"
"Eulor5A","DNA","Crypton-A","Tetrapoda","Dipnotetrapodomorpha.","old"
"X20_LINE","LINE","CR1","Mammalia","Amniota.","old"
"Eutr10","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"AluYb11","SINE","Alu",NA,NA,"old"
"LTR89","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"Eutr15","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"UCON29","DNA","Kolobok","Amniota","Tetrapoda.","old"
"MARE6","LINE","L1-Tx1","Mammalia","Amniota.","old"
"LTR85c","LTR","Gypsy","Eutheria","Theria <mammals>.","old"
"LTR89B","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MER136","DNA","Merlin","Amniota","Tetrapoda.","old"
"X23_DNA","DNA","DNA","Mammalia","Amniota.","old"
"UCON58","DNA","DNA","Theria <mammals>","Mammalia.","old"
"Zaphod5b","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"MARE4","DNA","hAT-Tip100","Theria <mammals>","Mammalia.","old"
"CR1-1_Amn","LINE","CR1","Amniota","Tetrapoda.","old"
"LTR88a","LTR","Gypsy","Eutheria","Theria <mammals>.","old"
"UCON83","DNA","DNA","Mammalia","Amniota.","old"
"UCON37","DNA","hAT-Ac","Mammalia","Amniota.","old"
"MARE8","DNA","DNA","Mammalia","Amniota.","old"
"Eutr2","DNA","MULE-MuDR","Eutheria","Theria <mammals>.","old"
"LTR103b_Mam","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"MER125","DNA","Merlin","Amniota","Tetrapoda.","old"
"Tigger21a","DNA","TcMar-Tigger","Eutheria","Theria <mammals>.","old"
"LTR55","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"X24_DNA","DNA","DNA","Theria <mammals>","Mammalia.","old"
"UCON73","DNA","hAT","Mammalia","Amniota.","old"
"Eulor6B","DNA","Crypton","Tetrapoda","Dipnotetrapodomorpha.","old"
"UCON59","DNA","DNA","Mammalia","Amniota.","old"
"EUTREP4","DNA","PiggyBac","Eutheria","Theria <mammals>.","old"
"AmnHarb1","DNA","PIF-Harbinger","Amniota","Tetrapoda.","old"
"Eutr16","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"X21_LINE","LINE","CR1","Mammalia","Amniota.","old"
"Eulor6A","DNA","Crypton","Tetrapoda","Dipnotetrapodomorpha.","old"
"MamRTE2","LINE","RTE-BovB","Mammalia","Amniota.","old"
"LTR13_v","LTR","ERVK","Catarrhini","Simiiformes.","young"
"UCON35","DNA","DNA","Mammalia","Amniota.","old"
