"count","group"
36717,"cluster1"
41712,"cluster1"
48643,"cluster1"
45691,"cluster1"
45455,"cluster1"
43897,"cluster1"
48973,"cluster1"
41958,"cluster1"
45507,"cluster1"
41449,"cluster1"
49131,"cluster1"
49445,"cluster1"
38205,"cluster1"
44890,"cluster1"
38171,"cluster1"
38349,"cluster1"
17900,"cluster2"
19516,"cluster2"
23822,"cluster2"
21182,"cluster2"
22074,"cluster2"
16477,"cluster2"
19671,"cluster2"
19337,"cluster2"
19648,"cluster2"
19166,"cluster2"
19403,"cluster2"
20965,"cluster2"
21207,"cluster2"
19560,"cluster2"
23859,"cluster2"
21629,"cluster2"
19741,"cluster2"
20030,"cluster2"
21998,"cluster2"
20465,"cluster2"
16042,"cluster2"
23224,"cluster2"
19127,"cluster2"
21204,"cluster2"
19547,"cluster2"
21154,"cluster2"
21123,"cluster2"
20949,"cluster2"
19162,"cluster2"
21082,"cluster2"
15784,"cluster2"
19289,"cluster2"
22146,"cluster2"
16778,"cluster2"
19766,"cluster2"
26372,"cluster2"
21638,"cluster2"
20075,"cluster2"
17513,"cluster2"
27344,"cluster2"
16967,"cluster2"
19237,"cluster2"
20719,"cluster2"
26982,"cluster2"
17409,"cluster2"
19543,"cluster2"
23511,"cluster2"
18978,"cluster2"
22463,"cluster2"
18316,"cluster2"
17936,"cluster2"
24582,"cluster2"
26922,"cluster2"
16261,"cluster2"
17636,"cluster2"
26330,"cluster2"
22621,"cluster2"
16714,"cluster2"
17770,"cluster2"
22893,"cluster2"
25116,"cluster2"
20075,"cluster2"
21716,"cluster2"
18548,"cluster2"
17393,"cluster2"
18553,"cluster2"
21208,"cluster2"
20957,"cluster2"
19747,"cluster2"
22123,"cluster2"
14965,"cluster2"
20382,"cluster2"
14748,"cluster2"
19721,"cluster2"
23915,"cluster2"
16438,"cluster2"
15340,"cluster2"
18819,"cluster2"
20334,"cluster2"
22092,"cluster2"
25067,"cluster2"
20946,"cluster2"
21063,"cluster2"
19639,"cluster2"
19308,"cluster2"
18127,"cluster2"
21431,"cluster2"
17735,"cluster2"
20228,"cluster2"
17992,"cluster2"
17302,"cluster2"
18668,"cluster2"
20206,"cluster2"
20414,"cluster2"
17321,"cluster2"
19903,"cluster2"
20407,"cluster2"
15872,"cluster2"
19665,"cluster2"
23768,"cluster2"
23528,"cluster2"
20873,"cluster2"
15603,"cluster2"
18861,"cluster2"
20401,"cluster2"
16390,"cluster2"
20808,"cluster2"
19945,"cluster2"
20317,"cluster2"
15658,"cluster2"
19797,"cluster2"
23916,"cluster2"
20494,"cluster2"
20511,"cluster2"
18398,"cluster2"
18181,"cluster2"
21519,"cluster2"
16409,"cluster2"
13953,"cluster2"
18766,"cluster2"
19762,"cluster2"
22183,"cluster2"
24462,"cluster2"
16462,"cluster2"
27049,"cluster2"
22737,"cluster2"
19244,"cluster2"
14854,"cluster2"
16265,"cluster2"
16253,"cluster2"
22832,"cluster2"
17564,"cluster2"
19215,"cluster2"
21177,"cluster2"
17873,"cluster2"
19592,"cluster2"
20345,"cluster2"
21288,"cluster2"
27882,"cluster2"
21205,"cluster2"
15384,"cluster2"
23638,"cluster2"
17709,"cluster2"
22371,"cluster2"
15935,"cluster2"
